dist,ran,num,pos,ovr_btn,btn,age,lbs,or,rpr
2,22,4,1,0,0,6,156,0,118
2,22,8,2,1.5,1.5,5,151,0,116
2,22,20,3,3.5,2,4,140,0,105
2,22,9,4,5.5,2,6,156,0,112
2,22,17,5,9.5,4,4,147,0,99
2,22,1,6,16.5,7,5,160,0,105
2,22,11,7,24.5,8,5,149,0,93
2,22,2,8,25,0.5,5,160,0,102
2,22,6,9,25.5,0.5,5,149,0,92
2,22,7,10,26.75,1.25,5,153,0,91
2,22,13,11,28,1.25,5,149,0,90
2,22,14,12,31.5,3.5,5,153,0,86
2,22,22,13,33.25,1.75,4,142,0,71
2,22,5,14,33.75,0.5,6,151,0,84
2,22,21,15,34.25,0.5,4,144,0,75
2,22,19,16,36.75,2.5,4,147,0,72
2,22,12,17,38,1.25,5,149,0,80
2,22,16,18,63,25,5,151,0,50
2,22,15,19,68,5,6,144,0,45
2,22,18,20,73,5,4,147,0,36
2,22,10,21,103,30,6,156,0,0
2,22,3,0,0,0,5,155,0,0
2,18,1,1,0,0,4,159,0,130
2,18,7,2,3,3,4,152,0,114
2,18,14,3,13,10,4,145,0,107
2,18,11,4,25,12,4,152,0,92
2,18,3,5,25.25,0.3,4,158,0,101
2,18,6,6,27.25,2,4,152,0,90
2,18,2,7,33.25,6,4,158,0,93
2,18,8,8,35,1.75,4,145,0,82
2,18,9,9,36.5,1.5,4,149,0,80
2,18,18,10,40,3.5,4,142,0,72
2,18,5,11,43,3,4,149,99,74
2,18,15,12,45,2,4,152,0,72
2,18,17,13,48,3,4,147,0,64
2,18,10,14,48.25,0.3,4,149,0,69
2,18,4,15,48.75,0.5,4,152,0,68
2,18,13,16,78.75,30,4,152,0,0
2,18,12,17,79.25,0.5,4,149,0,0
2,18,16,18,93.25,14,4,144,0,0
3,8,2,1,0,0,7,157,95,113
3,8,4,2,4,4,7,154,0,100
3,8,8,3,11,7,10,147,76,93
3,8,1,4,11.75,0.75,7,157,104,101
3,8,7,5,14.75,3,9,154,104,95
3,8,5,6,24.75,10,9,151,0,78
3,8,6,,0,0,9,154,0,0
3,8,3,0,0,0,7,157,105,0
3,22,13,1,0,0,6,143,112,120
3,22,17,2,1.25,1.25,7,139,107,113
3,22,15,3,2.25,1,7,139,111,115
3,22,21,4,5.25,3,6,133,105,107
3,22,9,5,6.5,1.25,7,152,116,117
3,22,7,6,6.75,0.3,8,153,117,117
3,22,4,7,8.25,1.5,7,158,127,127
3,22,5,8,25.25,17,8,153,122,109
3,22,10,9,28.75,3.5,5,148,115,93
3,22,16,10,29,0.3,12,145,110,87
3,22,20,11,31,2,7,133,105,80
3,22,22,12,35,4,9,140,105,76
3,22,12,13,46,11,9,144,113,74
3,22,11,14,54,8,8,150,114,67
3,22,1,15,54.25,0.2,9,168,131,85
3,22,2,16,65.25,11,7,161,128,70
3,22,3,17,70.25,5,7,163,127,64
3,22,19,0,0,0,7,140,105,0
3,22,14,0,0,0,7,147,112,0
3,22,18,0,0,0,9,138,106,0
3,22,6,0,0,0,7,154,118,0
3,22,8,0,0,0,7,153,117,0
2,9,8,1,0,0,8,142,107,125
2,9,1,2,2.5,2.5,13,163,130,142
2,9,4,3,5.5,3,6,162,127,137
2,9,6,4,11.5,6,11,153,115,118
2,9,7,5,17.5,6,7,139,108,105
2,9,5,6,21,3.5,8,162,124,121
2,9,2,7,22,1,10,163,130,123
2,9,3,8,52,30,8,166,128,0
2,9,9,0,0,0,10,140,102,0
