going,ran,num,pos,ovr_btn,btn,age,sex,lbs,time,secs,dec,or,rpr,jockey,trainer
Soft,12,12,3,7,5,5,G,154,04:33.9,273.9,4,–,122,Jim Culloty,Henrietta Knight
Soft,12,1,4,9,2,4,G,164,04:34.3,274.3,6.5,–,130,Joe Tizzard,Mark Pitman
Soft,12,5,5,28,19,6,G,154,04:38.1,278.1,51,–,104,Andrew Thornton,T Casey
Soft,12,8,6,31.5,3.5,6,G,154,04:38.8,278.8,34,–,97,Carl Llewellyn,Brendan Powell
Soft,12,11,7,31.75,0.3,5,G,154,04:38.9,278.85,51,–,97,R Wakley,Nigel Hawke
Soft,12,10,8,34.75,3,5,G,154,04:39.4,279.45,17,–,94,Barry Fenton,Richard Rowe
Soft,12,7,9,36.75,2,5,G,154,04:39.8,279.85,17,–,92,A Bates,Edward Stanners
Soft,12,3,10,50.75,14,5,G,164,04:42.7,282.65,13,126,88,Paul Moloney,C Roche
Soft,12,6,11,55.75,5,5,G,154,04:43.6,283.65,51,–,73,Mattie Batchelor,Henrietta Knight
Soft,12,9,F,-,-,5,G,154,-,-,34,–,–,Timmy Murphy,Jim Old
Soft,12,11,1,0,0,8,G,154,05:33.9,333.9,8,132,142,Norman Williamson,E J OGrady
Soft,12,4,2,0.3,0.3,6,G,161,05:34.0,333.96,13,139,149,Alan Dempsey,Mrs M Reveley
Soft,12,8,3,2,1.75,7,G,156,05:34.3,334.3,21,134,142,Carl Llewellyn,Mark Pitman
Soft,12,7,4,3.5,1.5,9,G,156,05:34.6,334.6,21,134,141,C Maude,Philip Hobbs
Soft,12,3,5,11.5,8,10,G,162,05:36.2,336.2,8,140,141,Richard Guest,N B Mason
Soft,12,12,6,16.5,5,5,G,153,05:37.2,337.2,2.75,131,129,A P McCoy,M C Pipe
Soft,12,6,7,21.5,5,7,G,158,05:38.2,338.2,21,136,125,Jimmy McCarthy,M C Pipe
